epoch,test_acc,train_loss_updated,test_loss
0.0,0.2247,1.3463408664862317,0.03410945456027985
1.0,0.2853,1.215622268199921,0.031783269453048706
2.0,0.3638,1.100696812431018,0.029686603450775145
3.0,0.403,1.0291238307158153,0.028016587126255037
4.0,0.419,0.9559641021490098,0.026612375032901765
5.0,0.4163,0.9171817080974578,0.025830220460891725
6.0,0.4455,0.8904889844258626,0.02491745488643646
7.0,0.4597,0.853146476427714,0.024284257125854494
8.0,0.47,0.821560223698616,0.023887916421890257
9.0,0.4828,0.8113543463945387,0.023408106648921966
10.0,0.4905,0.7895504351059596,0.02296719603538513
11.0,0.4996,0.7579401094118754,0.02263433084487915
12.0,0.5087,0.7354328949252763,0.02216190983057022
13.0,0.5019,0.7319981429179512,0.02193193130493164
14.0,0.5302,0.7046941995819409,0.02141681264638901
15.0,0.5288,0.6918291302919388,0.021207276976108552
16.0,0.5258,0.6735250934958457,0.021150510430335997
17.0,0.5306,0.6718073557813963,0.020890238225460052
18.0,0.5466,0.6534472399353981,0.02047889156341553
19.0,0.55,0.6376034632722536,0.020316515052318573
20.0,0.5447,0.6123175968726475,0.020139364814758302
21.0,0.5525,0.604482761790355,0.01992278252840042
22.0,0.5594,0.586682836353779,0.019641398257017134
23.0,0.5679,0.5853322396675745,0.01930518283247948
24.0,0.5696,0.5679225428700448,0.019172541201114654
25.0,0.5812,0.5578003700971605,0.018804793673753737
26.0,0.5884,0.559873551150163,0.018566594982147216
27.0,0.5899,0.5366894034345946,0.01852437549829483
28.0,0.5909,0.5173953238129614,0.018253818571567534
29.0,0.5871,0.5082420319517452,0.018312784016132354
30.0,0.6017,0.50783296657602,0.017938926374912262
31.0,0.5915,0.5008323821425439,0.018107437509298326
32.0,0.5985,0.4759352563023567,0.017855569088459016
33.0,0.5983,0.469210319797198,0.01791772521138191
34.0,0.6077,0.45584887068967034,0.017403564029932022
35.0,0.6125,0.4582659013966719,0.01740027064681053
36.0,0.5989,0.4402709492743016,0.017690738713741303
37.0,0.6198,0.43592764277259505,0.0170979640185833
38.0,0.6127,0.43248356956243506,0.01724815905690193
39.0,0.6243,0.41757052954037993,0.01689690977334976
40.0,0.6166,0.4113030933737757,0.017030392056703567
41.0,0.6337,0.4033252587318421,0.016608333617448807
42.0,0.6237,0.3778797988990942,0.01671221239566803
43.0,0.6383,0.3724814840356509,0.01631291373372078
44.0,0.6322,0.37349681450426575,0.016442238456010817
45.0,0.6333,0.3658022685150306,0.016560249274969102
46.0,0.6398,0.361637069930633,0.016218412220478057
47.0,0.6345,0.3682112162311872,0.01640069244503975
48.0,0.6352,0.35151021526257203,0.01623420935869217
49.0,0.6333,0.33067630791167424,0.016486352664232255
50.0,0.6386,0.34780661839743454,0.01620638366341591
51.0,0.6348,0.3273999077851573,0.016359057027101515
52.0,0.6395,0.32386247316002853,0.01617353900074959
53.0,0.6428,0.31457328485697494,0.015997499811649322
54.0,0.6379,0.29980476574103043,0.016276135939359664
55.0,0.641,0.29922606625532105,0.016229163348674774
56.0,0.6422,0.3011116316889723,0.015991738587617873
57.0,0.6319,0.3018742152055105,0.0165847718834877
58.0,0.6504,0.28161191078772146,0.01576688823103905
59.0,0.6408,0.27756245412925873,0.016174467408657075
60.0,0.6461,0.2710677758231758,0.01587015460729599
61.0,0.6472,0.2729261965751648,0.015777353805303575
62.0,0.654,0.2509246732716759,0.01567536234855652
63.0,0.6539,0.2689588928595186,0.015599384623765946
64.0,0.6578,0.24416729897260667,0.01572425089478493
65.0,0.6326,0.24076166569193203,0.016769018614292145
66.0,0.651,0.23732390716237328,0.015953906017541885
67.0,0.6413,0.24635792977487048,0.016349450743198393
68.0,0.6598,0.22785871847098074,0.015615704929828644
69.0,0.6473,0.23382810061424958,0.01651054760813713
70.0,0.6428,0.23334403596570094,0.01622405406832695
71.0,0.6489,0.2232259949743748,0.01657564297914505
72.0,0.649,0.22392870348691937,0.016213709169626236
73.0,0.6404,0.21847949950645368,0.016930670565366745
74.0,0.6435,0.2243345222969851,0.01668080747127533
75.0,0.6478,0.20771483982726932,0.016287101793289186
76.0,0.6523,0.20158110967154305,0.0165612823843956
77.0,0.6356,0.20743568994104858,0.01708406965136528
78.0,0.6491,0.19404364599101243,0.01665136206150055
79.0,0.6489,0.19239503533268965,0.01676790972352028
80.0,0.64,0.19788381087159107,0.017648727279901504
81.0,0.6529,0.18469237443928926,0.016650247049331664
82.0,0.6546,0.19086040635779497,0.016630060094594955
83.0,0.6541,0.1936613407755892,0.01655974282026291
84.0,0.6496,0.19187236367290214,0.016814006811380386
85.0,0.6496,0.1742051257838806,0.016894656908512117
86.0,0.6498,0.18191343627559636,0.01683602847456932
87.0,0.6492,0.1717326458947112,0.017883337330818178
88.0,0.646,0.18245798097675045,0.01721864877939224
89.0,0.648,0.1743159952834249,0.01811302260160446
90.0,0.6478,0.18745677489290632,0.017504141199588777
91.0,0.6516,0.1694479299094528,0.017487989562749863
92.0,0.66,0.16888998259169358,0.016915049016475676
93.0,0.6534,0.1632454109673078,0.01761928294301033
94.0,0.6333,0.17464818956889216,0.01868250294327736
95.0,0.6446,0.15838129998308917,0.0178467280626297
96.0,0.657,0.15616060117632147,0.01747415093779564
97.0,0.6637,0.15176423183362936,0.01741371698975563
98.0,0.6502,0.1454528653559585,0.018896114319562913
99.0,0.6602,0.15969134471068783,0.017645992922782898
100.0,0.6279,0.14995940555011233,0.020146578496694566
101.0,0.6261,0.16895628825575115,0.01983049485087395
102.0,0.6195,0.14868698866913715,0.02079159020781517
103.0,0.6397,0.17057692039012914,0.018929570943117143
104.0,0.6522,0.14329382268572224,0.018807453191280365
105.0,0.6249,0.13820168311583494,0.02047562056183815
106.0,0.6299,0.14442301465074223,0.02004709421992302
107.0,0.6542,0.1474471496666471,0.018311533290147782
108.0,0.6627,0.12570531438260024,0.018943450808525084
109.0,0.659,0.15287082791390516,0.018058474957942963
110.0,0.6598,0.13053897289093583,0.018710856860876084
111.0,0.6374,0.14049414139753214,0.020352265095710753
112.0,0.6452,0.1501015046555549,0.0206434783577919
113.0,0.6424,0.15852628920242806,0.019317028474807738
114.0,0.6426,0.12409719643400363,0.02014052043557167
115.0,0.6357,0.1312289250018075,0.020998145240545274
116.0,0.6485,0.1310278168503816,0.019783393537998198
117.0,0.6503,0.13256475662083053,0.020294287258386612
118.0,0.6208,0.1376023743382345,0.021887813115119933
119.0,0.6396,0.13335839951845505,0.02138324139714241
120.0,0.6443,0.1317793233594857,0.02109656087756157
121.0,0.654,0.12139326655833671,0.020241636139154435
122.0,0.6424,0.11302522860405345,0.02237267456650734
123.0,0.652,0.1348586168820038,0.021538083982467652
124.0,0.6223,0.1305214791440715,0.022727011924982072
125.0,0.6489,0.13333358943136409,0.02044681404232979
126.0,0.6527,0.09900138996945072,0.020775746434926988
127.0,0.6582,0.10409816679653396,0.02167384803891182
128.0,0.6458,0.11698566605065329,0.02083230761885643
129.0,0.6599,0.10233622637259153,0.02059746897816658
130.0,0.6551,0.13265117282699795,0.020047179490327836
131.0,0.6464,0.09241650420986114,0.02246560981273651
132.0,0.6426,0.12031595933460629,0.021758561980724334
133.0,0.66,0.10232758820460487,0.020807598090171815
134.0,0.6584,0.10484040216713524,0.023771497642993928
135.0,0.6424,0.16373450976175577,0.02210547108054161
136.0,0.6555,0.10603190285145928,0.021409180968999863
137.0,0.6556,0.1077591598148186,0.021715427112579344
138.0,0.6562,0.10604854325740601,0.021154780942201613
139.0,0.6614,0.09638313673281422,0.02165858877301216
140.0,0.6532,0.10939969257389501,0.02231553955078125
141.0,0.6417,0.09898623249117129,0.0231168660402298
142.0,0.6431,0.11458768090438873,0.02246289682984352
143.0,0.6322,0.11367734678896767,0.023945749747753143
144.0,0.6553,0.10648218405398073,0.021882264071702958
145.0,0.658,0.09168528730942248,0.022619544512033463
146.0,0.6105,0.09428172970539891,0.027774995785951613
147.0,0.6323,0.16024976570803362,0.02388156008720398
148.0,0.6489,0.1036725340377113,0.022421327930688857
149.0,0.6511,0.09447874490047496,0.02299010580778122
150.0,0.6565,0.08910165582775759,0.021696262508630753
151.0,0.658,0.08636312925994087,0.02236051254272461
152.0,0.6708,0.08164889252566114,0.02223334293961525
153.0,0.6545,0.08942025195554987,0.024172990614175795
154.0,0.6592,0.1183851607561228,0.02271916686296463
155.0,0.6681,0.08080824827088506,0.02228439619541168
156.0,0.667,0.07501456770863539,0.02405499650835991
157.0,0.6526,0.09710607700445685,0.02479484438300133
158.0,0.6618,0.10492035050853156,0.023564917993545532
159.0,0.6557,0.09627975806613298,0.02412063184976578
160.0,0.6499,0.08273640891777663,0.024383445364236832
161.0,0.6487,0.08705767544660194,0.02400527491569519
162.0,0.6539,0.09078878475667443,0.024701455491781234
163.0,0.6631,0.10154397234693169,0.023911253762245177
164.0,0.666,0.08751017443827974,0.024017299127578735
165.0,0.6513,0.08436700705607654,0.02540255025625229
166.0,0.652,0.10193979612380887,0.02568614131808281
167.0,0.6354,0.09366776860272513,0.026775729274749756
168.0,0.6342,0.13165423869589968,0.025780721575021745
169.0,0.6419,0.10192366032442075,0.025097536545991898
170.0,0.6393,0.09651228166969186,0.025241487401723862
171.0,0.6597,0.09837357959896323,0.023298050010204314
172.0,0.6651,0.07885856477442818,0.02393811417222023
173.0,0.6555,0.07240551409303833,0.024678087371587755
174.0,0.6588,0.0883205951835844,0.02463128256201744
175.0,0.6566,0.09125004567923797,0.02549455443024635
176.0,0.6671,0.08856599579803877,0.025309185922145844
177.0,0.6637,0.0771010928002167,0.025536295455694198
178.0,0.6478,0.09496067611789717,0.028134352815151215
179.0,0.6498,0.12453637005124862,0.026355746132135392
180.0,0.6414,0.10474234459570533,0.025701029372215273
181.0,0.6626,0.09469558550937414,0.023790747249126436
182.0,0.67,0.07662441253291039,0.023859404194355012
183.0,0.6712,0.07005260938705762,0.02425847504734993
184.0,0.666,0.07173797628194248,0.025301854228973387
185.0,0.6737,0.08526768006919883,0.024024784678220747
186.0,0.6674,0.07246234247010822,0.02498189007639885
187.0,0.6715,0.08282614027685485,0.02545880808830261
188.0,0.6663,0.09107702488254776,0.02560841916799545
189.0,0.6619,0.09285614296126003,0.026767859441041948
190.0,0.6477,0.10267760238047535,0.027481654822826385
191.0,0.6615,0.1071796465575365,0.026211309736967087
192.0,0.6569,0.08741404740160216,0.025831705129146575
193.0,0.6665,0.07855506590067912,0.026116553884744643
194.0,0.6585,0.08743547771322968,0.025518862104415892
195.0,0.6635,0.07750096708194662,0.026826684099435807
196.0,0.6409,0.0963436955215099,0.028414696371555328
197.0,0.6617,0.10538232064381006,0.027268744564056396
198.0,0.6427,0.11160388162380937,0.026554702949523924
199.0,0.6594,0.07907774571923072,0.027198318773508073
