epoch,test_acc,train_loss_updated,test_loss
0.0,0.0589,2.0880542858441666,0.03638784081935883
1.0,0.0934,2.141454543749491,0.03655345594882965
2.0,0.1073,2.11551688448588,0.036891238951683045
3.0,0.3037,2.0880171508789065,0.03059810154438019
4.0,0.3726,1.86102415895462,0.02789526569843292
5.0,0.4237,1.6968027313550311,0.025517669892311096
6.0,0.4577,1.5766093141237898,0.023868949055671693
7.0,0.4803,1.4824500988324483,0.022817660784721375
8.0,0.5002,1.4099482127030685,0.0220596843123436
9.0,0.4839,1.3481912603378297,0.022694959485530852
10.0,0.5065,1.3530825633207955,0.02165761239528656
11.0,0.5149,1.2932743291854862,0.021229947340488435
12.0,0.5282,1.2673996175924938,0.02068894045352936
13.0,0.5405,1.2102309774557747,0.02018273698091507
14.0,0.5453,1.1619628651936846,0.02002877476811409
15.0,0.5594,1.1268818972905477,0.01953679823875427
16.0,0.5454,1.0761741009553272,0.019999704104661942
17.0,0.5639,1.072925194342931,0.019269811457395553
18.0,0.5746,1.0327545838356018,0.018829585915803908
19.0,0.5894,0.9765333801905315,0.018399855494499205
20.0,0.5953,0.9269246710936226,0.018104785883426667
21.0,0.6021,0.8994166492621106,0.017891986626386643
22.0,0.6131,0.847436713298162,0.017499577236175536
23.0,0.619,0.8040229577620827,0.017234400141239167
24.0,0.6232,0.7705980881849926,0.017075454127788544
25.0,0.6283,0.7328870286544164,0.01683369296193123
26.0,0.6362,0.6907099109093348,0.016689104640483857
27.0,0.6378,0.6569412416418393,0.016549001091718675
28.0,0.6446,0.6401937067111332,0.016251483780145647
29.0,0.6472,0.6058054711023967,0.016185324722528458
30.0,0.65,0.5691448544263839,0.016133480620384215
31.0,0.6553,0.5526107641061145,0.015811034047603607
32.0,0.6612,0.5116372384627659,0.015794376713037492
33.0,0.662,0.49694258749485015,0.015637829732894896
34.0,0.665,0.47211525148153316,0.015688451528549193
35.0,0.6689,0.444808653910955,0.015468709051609039
36.0,0.672,0.4291656831304232,0.015461940914392472
37.0,0.6712,0.40401247072219854,0.015404862105846405
38.0,0.6759,0.3865111586054165,0.015457504814863205
39.0,0.6797,0.3708055740495522,0.01529890650510788
40.0,0.6833,0.3496017062664031,0.015306012445688248
41.0,0.6851,0.3389283279081186,0.015100760447978973
42.0,0.6844,0.3257160114049911,0.015252805453538895
43.0,0.6904,0.3105150651236375,0.015085672265291214
44.0,0.6895,0.29982379431525863,0.01521218188405037
45.0,0.6933,0.2878139741917451,0.015016442579030991
46.0,0.6917,0.27530664050579073,0.015307024347782135
47.0,0.6917,0.2655116336494685,0.015383372920751572
48.0,0.6959,0.25011818079153697,0.01515676656961441
