epoch,test_acc,train_loss_updated,test_loss
0.0,0.3106,2.088055919329326,0.03136197669506073
1.0,0.3574,1.8839806683858233,0.02869251115322113
2.0,0.4095,1.738322589556376,0.02650648055076599
3.0,0.4424,1.6166448372205096,0.024687123227119447
4.0,0.4684,1.533531976699829,0.023544688808918
5.0,0.4888,1.4518252552350361,0.022655418753623962
6.0,0.5036,1.3911261927286784,0.02196051208972931
7.0,0.5132,1.336766107956568,0.021432768023014068
8.0,0.5255,1.287247416337331,0.02094381436109543
9.0,0.5369,1.247091445207596,0.020527269327640534
10.0,0.5443,1.1935924513339993,0.020176145470142366
11.0,0.5567,1.1541326599915822,0.019738995671272276
12.0,0.564,1.1193117159207664,0.019414262729883194
13.0,0.5746,1.0756742389996845,0.019015271854400634
14.0,0.5806,1.0364952220916748,0.018725435918569566
15.0,0.5901,0.9955990571180979,0.018440629190206528
16.0,0.5947,0.9565740980307261,0.018127996176481247
17.0,0.5996,0.9218539111614226,0.01790950897336006
18.0,0.6101,0.895206706126531,0.017621409773826598
19.0,0.6154,0.8523760955333711,0.017364031457901
20.0,0.6204,0.8114156279166536,0.017188284242153167
21.0,0.6263,0.7918979916175205,0.016990185618400575
22.0,0.6282,0.7515914433002474,0.016860989409685136
23.0,0.632,0.7218902477423348,0.016695135116577147
24.0,0.6337,0.6983219680388768,0.016556676250696182
25.0,0.638,0.6677315824826561,0.016451614159345627
26.0,0.6435,0.6392218918800352,0.01638000649213791
27.0,0.6468,0.6124076918363569,0.016257916378974915
28.0,0.6493,0.6002553649743398,0.016112605994939803
29.0,0.6505,0.5742607421477635,0.016095230907201767
30.0,0.6535,0.5412568492889407,0.016034772557020186
31.0,0.659,0.5306784410874048,0.015827210092544557
32.0,0.6602,0.5032624831398329,0.015841012263298034
33.0,0.6613,0.49192107939720153,0.01580591787695885
34.0,0.6615,0.4700214033722879,0.015800003355741502
35.0,0.6658,0.4515938934882483,0.01567577451467514
36.0,0.6667,0.4363061836957932,0.015651207423210144
37.0,0.6684,0.41645814398924513,0.015666031724214553
38.0,0.6695,0.4059484438300132,0.015755089843273163
39.0,0.671,0.3881779888868332,0.015710889554023742
40.0,0.6718,0.3751191334724426,0.015674241304397582
41.0,0.6758,0.3626850579977036,0.015554853892326356
42.0,0.6755,0.3580695182780426,0.015555389302968979
43.0,0.6781,0.3386679669717948,0.015565307778120041
44.0,0.6787,0.33728477642933535,0.01568546114563942
45.0,0.6785,0.33474855181574825,0.015615495371818543
46.0,0.6797,0.3162640339732171,0.015744645005464554
47.0,0.6794,0.3066829312841098,0.015845237416028977
48.0,0.6819,0.2974166041215261,0.015973732697963716
49.0,0.6836,0.29619029967983573,0.01597569042444229
50.0,0.6842,0.2998741972893476,0.016004698222875594
51.0,0.6833,0.29597386523087815,0.015606611481308937
52.0,0.6846,0.2679640066275994,0.016041589987277984
53.0,0.6841,0.28696736818552004,0.016241226750612257
54.0,0.6834,0.27668859163423387,0.016566727524995804
55.0,0.6833,0.27410154991348595,0.016362903067469597
