epoch,test_acc,train_loss_updated,test_loss
0.0,0.1962,1.3190053386241198,0.033797885239124296
1.0,0.2448,1.1689427115023137,0.031073969542980195
2.0,0.3215,1.063268180191517,0.029232297360897063
3.0,0.3673,0.9908247980475425,0.02753786758184433
4.0,0.3933,0.927992797344923,0.026375631058216095
5.0,0.4216,0.876428434997797,0.025309351420402526
6.0,0.4432,0.8410779460147023,0.024385713422298432
7.0,0.4579,0.8007244881615043,0.02394498348236084
8.0,0.4644,0.7936462456360459,0.02356201264858246
9.0,0.4763,0.7622753939218819,0.022979231882095337
10.0,0.4716,0.7467633784934878,0.022979350078105927
11.0,0.5024,0.7364171717129647,0.02224146032333374
12.0,0.4954,0.7106273101270199,0.02236048949956894
13.0,0.5164,0.6963420277833938,0.021522354936599732
14.0,0.5153,0.674872036576271,0.021530700540542604
15.0,0.52,0.6446222382597625,0.02116575618982315
16.0,0.533,0.6262625877279788,0.020736556458473207
17.0,0.5357,0.6048191908560693,0.020375909185409546
18.0,0.5485,0.6080383919924498,0.020156748378276825
19.0,0.5444,0.5888495379686356,0.020212666046619414
20.0,0.5586,0.5797399512026459,0.019754584288597107
21.0,0.5492,0.566003272952512,0.01991074198484421
22.0,0.5719,0.5461710383929312,0.019223352378606798
23.0,0.5581,0.5336815947853029,0.019496393716335297
24.0,0.5833,0.5209713635593652,0.018651661455631255
25.0,0.5655,0.4950730333290994,0.019154019516706467
26.0,0.5929,0.4979482078924775,0.01825471678972244
27.0,0.5689,0.4747364003676921,0.01910477939248085
28.0,0.5902,0.476503882734105,0.01834315623641014
29.0,0.5771,0.4685807109810412,0.01885446248650551
30.0,0.5988,0.4472470290306956,0.017927384346723557
31.0,0.5902,0.4285337150562555,0.018345509892702103
32.0,0.6025,0.42313064821995794,0.017841570913791658
33.0,0.5953,0.41332735896576195,0.018133062678575517
34.0,0.6141,0.40958380423486235,0.017296248614788054
35.0,0.5778,0.3899958554049954,0.01889133979678154
36.0,0.5992,0.3867843710863963,0.017803723829984665
37.0,0.5814,0.38241114338859916,0.018860534173250197
38.0,0.5998,0.37690344052389263,0.017807437336444853
39.0,0.5684,0.36080589829944076,0.019755215883255003
40.0,0.5955,0.36199782845098527,0.018019750291109086
41.0,0.579,0.34827768976334483,0.019294124460220337
42.0,0.597,0.33635960540501403,0.01824052549600601
43.0,0.5873,0.3290265698870644,0.01892826699614525
44.0,0.5965,0.32202927901409567,0.018502981424331665
45.0,0.5905,0.3262907483335584,0.018876379537582397
46.0,0.5908,0.30881816351786257,0.018795182877779006
47.0,0.5825,0.3083043419686146,0.019565099412202833
48.0,0.5924,0.291322518697707,0.018855351185798647
49.0,0.5776,0.2853889689501375,0.019808013957738877
50.0,0.5972,0.27598359405994416,0.018740794783830644
51.0,0.5895,0.27329940804746,0.019434918934106826
52.0,0.6049,0.2687401138897985,0.01843839744925499
53.0,0.5987,0.2613445338595193,0.019312091583013533
54.0,0.6043,0.2547767558810301,0.018568001848459244
55.0,0.6026,0.2594872946897522,0.01925694018006325
56.0,0.6079,0.25628400799585505,0.018253095036745073
57.0,0.6022,0.25695371721405535,0.019248182773590087
