epoch,test_acc,train_loss_updated,test_loss
0.0,0.2086,1.346292170127233,0.03371879926919937
1.0,0.2349,1.1849109098116555,0.03535824551582337
2.0,0.2676,1.1289189279079441,0.03081099580526352
3.0,0.2735,1.0244298239549003,0.02988802100419998
4.0,0.3798,0.9652975134054819,0.027000283169746397
5.0,0.4084,0.9320023735364279,0.026049114787578584
6.0,0.3816,0.873187755823135,0.026049711310863494
7.0,0.4441,0.8514671058257419,0.02490889538526535
8.0,0.4261,0.8143786945939069,0.02441169773340225
9.0,0.4693,0.7992030200163524,0.02393625214099884
10.0,0.453,0.7675822060306868,0.023382926046848298
11.0,0.4768,0.7390084680716198,0.022843712174892426
12.0,0.3587,0.723441508034865,0.026934186673164367
13.0,0.4034,0.7158828052679695,0.02617017095088959
14.0,0.3957,0.7036838825345039,0.026013745510578154
15.0,0.4902,0.6823723462621372,0.02198040670156479
16.0,0.4867,0.652837506989638,0.022052206647396086
17.0,0.4311,0.6282533456087112,0.024856805980205537
18.0,0.5062,0.6400100090901059,0.021262451469898223
19.0,0.5235,0.6129210461874802,0.020745790243148803
20.0,0.4617,0.5912968298892181,0.02289442616701126
21.0,0.4924,0.5741338318188984,0.02261924502849579
22.0,0.4781,0.5660650471051535,0.022320765256881713
23.0,0.5104,0.5542546944419543,0.021431045842170714
24.0,0.4757,0.5295118525028227,0.02379171949625015
25.0,0.478,0.526469880570968,0.022480713999271394
26.0,0.556,0.5067829761405787,0.019925119215250014
27.0,0.562,0.49588543149828906,0.019099708771705626
28.0,0.5792,0.47831578248739254,0.018716502606868742
29.0,0.5453,0.4583393512169519,0.01989764022231102
30.0,0.586,0.45314334290226305,0.018491979640722276
31.0,0.4871,0.44265572919448226,0.02439795036315918
32.0,0.4926,0.4570129485875368,0.02307035596370697
33.0,0.5002,0.4250254017959039,0.022557324320077895
34.0,0.5677,0.41639148912827184,0.019883936297893524
35.0,0.5911,0.395171344002088,0.01807456572651863
36.0,0.4723,0.3797716679821411,0.027177852356433867
37.0,0.5481,0.4124065645933151,0.020229090344905852
38.0,0.49,0.36634423693269497,0.02573787261247635
39.0,0.542,0.38008221612870685,0.020984009659290315
40.0,0.4852,0.3579642809952299,0.025111969566345215
41.0,0.5794,0.359902012074987,0.018868041825294495
42.0,0.5423,0.32871013815328476,0.02131451961398125
43.0,0.5771,0.32501365636785823,0.019554764258861542
44.0,0.5238,0.3170342879543702,0.02330001581311226
45.0,0.5121,0.3242872646202643,0.023786129331588746
46.0,0.5419,0.3174329948909581,0.021404644531011582
47.0,0.52,0.2887348135684927,0.02377378051877022
48.0,0.5713,0.30778298362406586,0.019572673505544664
49.0,0.5572,0.2798805039748549,0.020927058124542236
50.0,0.5784,0.288422330841422,0.019358488833904265
51.0,0.4354,0.26558367269486194,0.031224193370342254
52.0,0.5207,0.318838998094201,0.022167368817329405
53.0,0.5797,0.27322726799050967,0.019199999457597733
54.0,0.5969,0.2473304043548803,0.019208401644229888
55.0,0.6132,0.24347371901509654,0.018123832923173905
56.0,0.6291,0.23873262025602165,0.018035678118467333
57.0,0.5542,0.23989709493207434,0.02495230482816696
58.0,0.55,0.27195122945681205,0.02264511018395424
59.0,0.581,0.23390166334373255,0.021404004573822022
60.0,0.5918,0.2178100815191865,0.019108847945928573
61.0,0.5624,0.2155198591100052,0.02284669817686081
62.0,0.5324,0.22518179419512552,0.026116945350170135
63.0,0.5727,0.23917262631872052,0.021782676374912262
64.0,0.5948,0.2055030840349695,0.020751710975170135
65.0,0.5231,0.21738977702148254,0.028645975345373154
66.0,0.597,0.25669841689585393,0.020150888115167617
67.0,0.5572,0.18399312103539706,0.02582312581539154
68.0,0.5515,0.23625113777754206,0.022498169207572936
69.0,0.6004,0.19081426672637467,0.020343108612298967
70.0,0.6241,0.1780824171941106,0.0193267160654068
71.0,0.5418,0.19228271888258558,0.028507530176639557
72.0,0.581,0.21806977462147667,0.02118333752155304
73.0,0.6074,0.17591429171059278,0.020738854265213012
74.0,0.5685,0.18451794389790555,0.02494960641860962
75.0,0.4795,0.20397890774121807,0.027032312142848968
76.0,0.6307,0.18393596593166384,0.018032534843683244
77.0,0.5827,0.14928596482359957,0.024562824386358262
78.0,0.6063,0.2012623182511889,0.020621804225444795
79.0,0.6408,0.15569369919450643,0.01847123436331749
80.0,0.5959,0.15956643587436217,0.024250340247154237
81.0,0.6095,0.21543847086598786,0.01987742072939873
82.0,0.5708,0.1465353315585914,0.027632542407512665
83.0,0.5872,0.2012578460352185,0.023881029063463212
84.0,0.62,0.1849190990848777,0.019528517216444014
85.0,0.5641,0.14603380830337606,0.029685555708408355
86.0,0.582,0.20658889788715168,0.022530954229831694
87.0,0.6146,0.15167595095777267,0.020182552623748778
88.0,0.6233,0.1445540047873898,0.021105701035261153
89.0,0.5822,0.1518635793980211,0.026439104849100115
90.0,0.5885,0.19341407369822264,0.023944195491075515
91.0,0.6232,0.15525847720277183,0.020758158713579177
92.0,0.6308,0.15360064301802775,0.02218112033009529
93.0,0.6071,0.1762349790971881,0.0251904855966568
94.0,0.6075,0.18661658448236987,0.02367597364783287
95.0,0.6262,0.15030834835954004,0.02295346919298172
96.0,0.6083,0.16491515897373513,0.025274290013313293
97.0,0.5672,0.18681977611209732,0.02725886849164963
98.0,0.5895,0.166301949489008,0.024345938646793366
99.0,0.6331,0.1529002898794133,0.01958408250808716
100.0,0.579,0.14017299453386411,0.028557176393270493
101.0,0.5601,0.17654474006798893,0.030092789554595947
102.0,0.552,0.18330850011257763,0.030901811134815216
103.0,0.5874,0.1630227422845783,0.02295595801472664
104.0,0.5479,0.13308872819707424,0.03271951894760132
105.0,0.587,0.17077207639413727,0.023811341828107836
106.0,0.5902,0.12744252480830373,0.02343898714184761
107.0,0.6524,0.13288375642771524,0.020502993243932725
108.0,0.627,0.13472096843286027,0.023985856878757476
109.0,0.6376,0.1624785095351205,0.02356638785600662
110.0,0.6376,0.1727166705861843,0.02291961715221405
111.0,0.6008,0.16036734287464058,0.025450460982322693
112.0,0.5907,0.14922672315677243,0.028325740683078766
113.0,0.5954,0.17344979326745183,0.027374541926383972
114.0,0.6021,0.1387155226085063,0.023550024807453156
115.0,0.6199,0.14650016182024653,0.02405434550046921
116.0,0.6342,0.15511116620855567,0.02197504552602768
117.0,0.6378,0.1387257954423549,0.02208830269575119
118.0,0.64,0.15345468399343856,0.022153920316696166
119.0,0.6057,0.15793498190349786,0.028685504204034807
120.0,0.5825,0.1750873256688938,0.023825817573070528
121.0,0.5792,0.12668176847191837,0.02903286864757538
122.0,0.6066,0.14675494117487692,0.026867964017391204
123.0,0.5645,0.15657476625579872,0.03016832947731018
124.0,0.6024,0.14991253940669896,0.026689672780036925
125.0,0.6298,0.15758920753029326,0.022855157458782197
126.0,0.6314,0.14753002052589242,0.023231968277692795
127.0,0.6332,0.14861295714334116,0.02608818073272705
128.0,0.6094,0.17042013395441852,0.027116160929203034
129.0,0.6056,0.17251619232428494,0.0275469642162323
130.0,0.6149,0.1555385291376345,0.02352727207541466
131.0,0.6501,0.13257235910159457,0.021675984436273575
132.0,0.6528,0.13726560007291846,0.023091910219192505
133.0,0.6575,0.15990137915115332,0.023208148860931397
134.0,0.6523,0.16706221499769405,0.024646643084287642
135.0,0.6514,0.17537201976103817,0.024663510620594024
136.0,0.6301,0.18936148887864943,0.027752471697330475
137.0,0.6116,0.18524040893269317,0.027074202167987824
138.0,0.6065,0.1647454775494019,0.027733103573322294
139.0,0.647,0.1792611229618003,0.02434061282277107
140.0,0.6245,0.17140340758776684,0.025406421184539795
141.0,0.6326,0.17032799835101473,0.02624842204451561
142.0,0.6501,0.1924713146830327,0.02530556830763817
143.0,0.6506,0.19455832414804416,0.025012436586618423
144.0,0.6465,0.19917576547927449,0.026575999987125398
145.0,0.633,0.2065371391017689,0.027187803661823273
146.0,0.5987,0.21065806387383293,0.02850708015561104
147.0,0.6158,0.16275487880754128,0.025455259293317795
148.0,0.6187,0.15101217875391013,0.025272223973274232
149.0,0.6151,0.15606594236635524,0.02714398435950279
150.0,0.6302,0.17793937041959726,0.026822902488708496
151.0,0.6372,0.15663543752615805,0.025698771750926972
152.0,0.6312,0.18418778410376402,0.025314769434928892
153.0,0.6429,0.1640455925729378,0.02578720982670784
154.0,0.6554,0.1832527236082242,0.02506959127187729
155.0,0.6604,0.17869352836394684,0.024819170439243317
156.0,0.6472,0.20236105517974168,0.025210847961902618
157.0,0.6614,0.17663419596263946,0.0233746138215065
158.0,0.6588,0.18817371295074306,0.024623257380723955
159.0,0.664,0.19932273210882948,0.024168288969993592
160.0,0.6593,0.18611800722190425,0.025968329113721846
161.0,0.6619,0.20226347475716228,0.025789871519804
162.0,0.6593,0.20039646708957537,0.026300134539604187
