epoch,test_acc,train_loss_updated,test_loss
0.0,0.2241,1.346290457646052,0.03415926675796509
1.0,0.2799,1.2137386669317884,0.03181624253988266
2.0,0.346,1.0984315540393197,0.02975534327030182
3.0,0.3958,1.011048834880193,0.02790111082792282
4.0,0.4081,0.957305836280187,0.02675878300666809
5.0,0.423,0.9085248242616656,0.02582614723443985
6.0,0.4245,0.875781560222308,0.025263877058029176
7.0,0.4245,0.8652501134077708,0.02507287950515747
8.0,0.4444,0.8280815770824749,0.024203192710876464
9.0,0.4543,0.8128227096796035,0.024069005715847015
10.0,0.4726,0.7838532042503356,0.02319304381608963
11.0,0.4585,0.7678061182498931,0.02339068863391876
12.0,0.5004,0.7515003623366358,0.022477421855926515
13.0,0.5,0.7603114873568217,0.02238355360031128
14.0,0.488,0.7286033774415651,0.02225983384847641
15.0,0.5136,0.7085112660527229,0.02163539854288101
16.0,0.5048,0.690531984647115,0.021613058912754057
17.0,0.5049,0.6724311528007191,0.02156565560102463
18.0,0.5191,0.6646607389847438,0.020951057946681978
19.0,0.544,0.6581389722029368,0.020632301473617554
20.0,0.522,0.6342028605937956,0.020744193863868714
21.0,0.5474,0.6142661149104437,0.02010242735147476
22.0,0.539,0.6111160600980122,0.02047037526369095
23.0,0.5437,0.5989463337262471,0.01990354596376419
24.0,0.5584,0.5764422495961188,0.01987608482837677
25.0,0.5697,0.5647750043869019,0.019203781628608703
26.0,0.5464,0.5505972740054131,0.02005061742067337
27.0,0.5629,0.5603734380801519,0.019323853367567062
28.0,0.5528,0.5487442669669788,0.019582206869125367
29.0,0.4836,0.519324263691902,0.02216262160539627
30.0,0.5424,0.5256456869244573,0.01988744314312935
31.0,0.5407,0.5042328663220007,0.01979045121669769
32.0,0.5789,0.4983213338057201,0.01858838891386986
33.0,0.5705,0.4785030380090077,0.01869038843512535
34.0,0.5793,0.4657402551571527,0.018443489241600036
35.0,0.5946,0.4613994744916756,0.017791973143815993
36.0,0.5804,0.4487052335838477,0.01826962569952011
37.0,0.5635,0.4379495867689451,0.01885085835456848
38.0,0.5878,0.4325257176955541,0.018182507103681564
39.0,0.5861,0.43131733772158626,0.01816662500500679
40.0,0.5511,0.4169425543198983,0.019528926414251326
41.0,0.6076,0.4039481503541271,0.01746107985973358
42.0,0.5931,0.4028731254239877,0.017971447932720184
43.0,0.5929,0.3850095075865588,0.01776346265077591
44.0,0.6015,0.37933272245526317,0.017885147881507874
45.0,0.5963,0.3730924267868202,0.01780197768807411
46.0,0.5716,0.36662282641728716,0.019325861155986786
47.0,0.5919,0.3575970134735107,0.018159066611528395
48.0,0.5622,0.35598023191591105,0.019294436591863633
49.0,0.6025,0.34714441811045016,0.017669508105516433
50.0,0.6294,0.3358036868174872,0.016715614742040634
