epoch,test_acc,train_loss_updated,test_loss
0.0,0.3189,2.0702250534668565,0.031359668552875516
1.0,0.3672,1.8820094188675285,0.028638636231422425
2.0,0.4126,1.7185248136520386,0.02619397464990616
3.0,0.4457,1.6038139946758747,0.024500652658939363
4.0,0.4721,1.5159926189109683,0.023281680536270142
5.0,0.4952,1.4342782424762845,0.022327506268024443
6.0,0.5093,1.3717375118285418,0.021717491459846496
7.0,0.5209,1.314965424221009,0.02111975237131119
8.0,0.5303,1.2725766403600574,0.02073861266374588
9.0,0.5438,1.228103072103113,0.02026800731420517
10.0,0.5516,1.1804255600087346,0.019930821418762207
11.0,0.5624,1.136833543330431,0.019470700818300248
12.0,0.5725,1.083841438125819,0.019092526000738144
13.0,0.5835,1.0441248780116439,0.018621293836832045
14.0,0.5892,1.0093246890231966,0.01840344809293747
15.0,0.5943,0.9535232054069638,0.018135449451208114
16.0,0.6028,0.9229061155579984,0.017795712572336198
17.0,0.6097,0.8835103300400078,0.017530260866880417
18.0,0.6156,0.8384359584189951,0.017331454062461855
19.0,0.621,0.8080951302312315,0.017146313333511354
20.0,0.6274,0.7832840996794402,0.01696238160729408
21.0,0.631,0.755444811610505,0.01676887280344963
22.0,0.6346,0.7239669082686305,0.016617739099264145
23.0,0.6389,0.6907513102050871,0.016500819289684297
24.0,0.6389,0.6665421802550554,0.016468090903759003
25.0,0.6431,0.640546943480149,0.016280674600601196
26.0,0.6479,0.6052172301802784,0.016144344902038574
27.0,0.6513,0.5685934921260923,0.015978602212667465
28.0,0.6537,0.5642824124544858,0.01594689279794693
29.0,0.6543,0.555214527156204,0.015998480540513994
30.0,0.6609,0.5006584988906979,0.015857688814401628
31.0,0.6636,0.49134504739195106,0.015779341024160384
32.0,0.6684,0.471727586328052,0.015587709218263626
33.0,0.6705,0.4524020280689001,0.015521046996116639
34.0,0.6712,0.4517818157793954,0.01556851863861084
35.0,0.6717,0.42863666247576476,0.015640808683633805
36.0,0.6728,0.42106847644317896,0.015526289629936218
37.0,0.6775,0.3950831042136997,0.015512196731567382
38.0,0.6748,0.35840945860836654,0.01539436547756195
39.0,0.677,0.3721090201404877,0.015553662264347077
40.0,0.6799,0.36070600684033705,0.015567543768882752
41.0,0.6806,0.35811013660859314,0.015411045199632645
42.0,0.6814,0.32942034607985987,0.01556441393494606
43.0,0.6825,0.30141546078957615,0.015296337640285491
44.0,0.6834,0.3096284561674111,0.015616024613380432
45.0,0.684,0.3179916274850257,0.015526353496313094
46.0,0.6863,0.28402432915754616,0.015435271310806275
47.0,0.6859,0.28171665500849485,0.015589672577381135
48.0,0.6859,0.28948155654361474,0.015894243597984314
49.0,0.6858,0.3081580113619566,0.01599771139025688
50.0,0.6866,0.2955550936690997,0.01593013042807579
51.0,0.6888,0.2694465116132051,0.0157455805182457
52.0,0.6884,0.2584656558814459,0.01601342867612839
53.0,0.6878,0.2785375560168177,0.0165420229613781
54.0,0.6886,0.2829635796835646,0.01601389216184616
55.0,0.6863,0.2678377235715743,0.016460484695434572
56.0,0.6889,0.2698115123785101,0.016535270774364473
57.0,0.6866,0.2864000032073818,0.01710755466222763
58.0,0.6891,0.2804049507481977,0.0172916244328022
59.0,0.6869,0.2720424959174125,0.01700388324856758
60.0,0.689,0.26081807411974295,0.017581403547525406
61.0,0.688,0.2734747164853616,0.01735280128121376
62.0,0.6869,0.26859180159517565,0.017970861673355102
63.0,0.6869,0.2791331039537909,0.01832374987602234
64.0,0.69,0.2839800832996843,0.01857992144227028
65.0,0.6892,0.3226264929166064,0.019347109055519104
66.0,0.6851,0.31636189948185345,0.01832815480232239
67.0,0.6853,0.27928307217953263,0.02017569058537483
68.0,0.6808,0.35316307130997304,0.019648139357566832
69.0,0.682,0.32283662290137727,0.021224797332286834
70.0,0.6804,0.3508131769893225,0.020726359456777574
71.0,0.6813,0.34326776430534667,0.020689815133810043
72.0,0.6837,0.3131115140306065,0.02157200395464897
73.0,0.6801,0.3120800354285166,0.0222483595430851
74.0,0.6787,0.3396426855557365,0.022545355641841888
75.0,0.6831,0.35943114867259285,0.02406450445652008
76.0,0.6752,0.4492129755264614,0.024166994649171828
77.0,0.6805,0.4109598486800678,0.023514714658260345
78.0,0.6761,0.3543704146941309,0.024917999333143235
79.0,0.6769,0.40284474091167793,0.02536916531920433
80.0,0.6744,0.4024132272839779,0.02629100501537323
81.0,0.6778,0.4336338091583457,0.028193790012598037
82.0,0.6683,0.4653917199757416,0.02232815344929695
83.0,0.6817,0.20631035600417819,0.028064326655864717
84.0,0.6732,0.45478930640383625,0.030723640340566634
85.0,0.669,0.6381380128063029,0.026337335807085038
86.0,0.6755,0.3464113890320732,0.031323911315202714
87.0,0.6712,0.5780608731540269,0.028756325191259383
88.0,0.6712,0.407639197804383,0.033947385239601134
89.0,0.6652,0.7485668048349907,0.02735867605805397
90.0,0.674,0.3143805329440511,0.03410459555387497
91.0,0.6715,0.5848534672495589,0.030973260015249252
92.0,0.6712,0.39674155226384755,0.037658935451507565
93.0,0.6621,0.8025224200868252,0.030367792201042174
94.0,0.6722,0.33042499582115853,0.03508757153749466
95.0,0.6691,0.41269617104408096,0.035006930088996885
96.0,0.6741,0.3706302398488333,0.03923303258419037
97.0,0.6664,0.7560033641686459,0.040462806844711305
98.0,0.665,0.8147718282081768,0.03371284680366516
99.0,0.6671,0.34034390092510874,0.03970067998170853
100.0,0.6697,0.4767976720500883,0.0349544380068779
101.0,0.6661,0.25581706470384236,0.04108746562004089
102.0,0.6652,0.5090706996188601,0.04459775447845459
103.0,0.6646,0.7932475462130242,0.04065372846126556
104.0,0.665,0.6556990235421836,0.046556785142421724
105.0,0.6641,0.9064273448209861,0.04420022206306457
106.0,0.6631,0.7577441331872251,0.04240338896512985
107.0,0.6678,0.4831975632027934,0.04712258750200272
108.0,0.6633,0.5950964690630827,0.05202433105707169
109.0,0.6544,1.0528482830679422,0.03738158700466156
110.0,0.6637,0.2924122494577205,0.04721418849229812
111.0,0.6649,0.4702603450784409,0.05608856751918793
112.0,0.6575,1.2559115695126821,0.049740617680549624
113.0,0.6623,0.6932659565514768,0.04559890859127045
114.0,0.6641,0.39193364342813763,0.06327651970386505
115.0,0.6386,1.7254722629353636,0.03787062629461289
116.0,0.662,0.3768796763932187,0.04148884446620941
117.0,0.6659,0.23704314636484014,0.052669038438797
118.0,0.6642,0.3013704883409673,0.06263642309904098
119.0,0.659,1.036570942100343,0.05756908510923386
120.0,0.6584,0.7802959649621698,0.05257103068828583
121.0,0.6632,0.33701722781663646,0.061310225558280945
122.0,0.6612,0.5117941527480298,0.0768774725675583
123.0,0.6224,2.2464811124518747,0.03791564489603043
124.0,0.6577,0.35913108772456326,0.04441564435958862
125.0,0.6627,0.25006228364582056,0.05556996653079987
126.0,0.6636,0.26762112785165754,0.06787769651412964
127.0,0.6586,0.7152579332391695,0.07702504637241364
128.0,0.6461,1.6745798970645864,0.0547881098985672
129.0,0.6612,0.5347415191688925,0.06379415184259414
130.0,0.6601,0.6214119707272857,0.07872357094287873
131.0,0.653,1.5062081439388748,0.06307437510490417
132.0,0.657,0.5742654395432965,0.08452554371356964
133.0,0.6392,1.8093162458678074,0.0598934616446495
134.0,0.6534,0.6368950481917637,0.06941329753398895
135.0,0.6553,0.564888364281046,0.09219720575809479
136.0,0.6484,1.9449034770325853,0.07238363175392151
137.0,0.6497,0.7775377329103321,0.0640334786772728
138.0,0.6559,0.32341181805295494,0.10022767593860626
139.0,0.5983,2.7445032053656178,0.04510899755954743
140.0,0.6514,0.315982007574803,0.05078268511295319
141.0,0.6559,0.20510693549074405,0.0661522736787796
142.0,0.6563,0.17090054436629315,0.08649410643577575
143.0,0.6585,0.7412508760672487,0.12175595653057099
144.0,0.5672,3.308593257237226,0.03847318536043167
145.0,0.6411,0.3085206368439685,0.045731178414821626
146.0,0.6453,0.2813274732180616,0.06283298282623291
147.0,0.6535,0.22355531923501532,0.07774744057655335
148.0,0.6534,0.2759830285037658,0.11488805963993072
149.0,0.6355,2.438961371791083,0.07015519995689393
150.0,0.6512,0.5135350917246797,0.0847448617219925
151.0,0.6507,0.5055661824274381,0.13758498339653016
152.0,0.5853,3.3727049136534335,0.05374097856283188
153.0,0.6386,0.3821408530389817,0.06431552119255066
154.0,0.6426,0.44288237772643696,0.09988541448116303
155.0,0.6482,1.1928916625283819,0.0889012510061264
156.0,0.6473,0.49896785112520947,0.12339688653945922
157.0,0.6357,2.2129242086564545,0.07661753206253052
158.0,0.5734,0.3908091773528838,0.1856869372844696
159.0,0.4717,3.092359425406903,0.0350423770904541
160.0,0.6125,0.28243242557364284,0.03761079043149948
161.0,0.6277,0.26017608552738236,0.05276920275688171
