epoch,test_acc,train_loss_updated,test_loss
0.0,0.298,2.0880504776636757,0.033660621404647824
1.0,0.3261,1.9341006267865495,0.031126394712924957
2.0,0.3559,1.8437487349510187,0.029427549123764038
3.0,0.3837,1.7514235011736554,0.02787733589410782
4.0,0.4101,1.681561962922414,0.02652804765701294
5.0,0.4308,1.6093203322092693,0.02539274445772171
6.0,0.4448,1.5556623802185054,0.024513128304481508
7.0,0.4595,1.5037503016789753,0.023818797385692595
8.0,0.4742,1.457582065741221,0.023242560780048372
9.0,0.4825,1.427517068227132,0.022800857186317445
10.0,0.4927,1.389537465413411,0.022430325782299042
11.0,0.4965,1.3564565692742667,0.022064981269836425
12.0,0.5024,1.335843245426814,0.021824619936943054
13.0,0.5113,1.3008092900911967,0.021481589949131012
14.0,0.5198,1.2740408501625062,0.0212568962931633
15.0,0.5269,1.2411465150515237,0.021015334141254425
16.0,0.5325,1.2137272013028464,0.020736177837848663
17.0,0.5347,1.185326136430104,0.020543942189216614
18.0,0.5395,1.1722898969650268,0.020374741262197495
19.0,0.5486,1.1355338466962177,0.020130573427677153
20.0,0.5551,1.1064431588649746,0.019972032171487807
21.0,0.5561,1.0943007845878596,0.019853275960683824
22.0,0.5586,1.0610672407945,0.019662905532121657
23.0,0.5676,1.0353903568585712,0.019550046169757845
24.0,0.5706,1.0078330998420713,0.019434680205583574
25.0,0.5715,0.9797256241639455,0.0193807521879673
26.0,0.5739,0.963142785390218,0.019305174565315247
27.0,0.5793,0.9296788566112519,0.019172270822525025
28.0,0.5836,0.914358819246292,0.019077405709028245
29.0,0.5864,0.9004011115630466,0.019038511127233506
30.0,0.5898,0.8706033573945362,0.019049002367258074
31.0,0.5913,0.8546900072495147,0.018961992645263673
32.0,0.5939,0.822585182348887,0.018915733152627946
33.0,0.5964,0.8137318571011225,0.019018790560960768
34.0,0.5976,0.7996462367375688,0.01902114126086235
35.0,0.6009,0.776693846265475,0.018698776805400847
36.0,0.604,0.7496457984844842,0.01880624846816063
37.0,0.6075,0.7380107642412185,0.018890760338306428
38.0,0.609,0.7200151448249815,0.018772944986820223
39.0,0.608,0.6893890579541524,0.01908503404855728
40.0,0.6089,0.6784141183296839,0.019217906695604324
41.0,0.6115,0.6742654234170911,0.01890849309563637
42.0,0.6105,0.6550883404215178,0.018867157208919526
43.0,0.6123,0.6299061022202176,0.018979825782775878
44.0,0.6161,0.6246128279368083,0.019091407257318498
45.0,0.6169,0.6201651076674461,0.01913188913464546
46.0,0.6204,0.5972900984485946,0.018876208901405334
47.0,0.6207,0.5619437603155771,0.018778299182653425
48.0,0.62,0.540945710460345,0.01932102425098419
49.0,0.6249,0.5557612979014713,0.018480746865272523
50.0,0.625,0.5072955390214919,0.019307276052236557
51.0,0.6259,0.53416868331035,0.018982863944768905
52.0,0.632,0.5148164755105971,0.018384530317783355
53.0,0.6319,0.47666852984825775,0.018476300930976866
54.0,0.629,0.4724824588000774,0.01904371554851532
55.0,0.6282,0.4878136241833369,0.01931456429362297
56.0,0.6291,0.47961557327707616,0.020144488960504532
57.0,0.6297,0.5097562114199004,0.01979585946202278
58.0,0.6285,0.48976366479198136,0.019615593272447586
59.0,0.6274,0.464119601806005,0.019892656701803207
