epoch,test_acc,train_loss_updated,test_loss
0.0,0.0671,2.0705875849723814,0.03639678246974945
1.0,0.088,2.1468365186452867,0.03662430763244629
2.0,0.0998,2.1412261626124383,0.0371291553735733
3.0,0.1024,2.0816051775217055,0.03962805116176605
4.0,0.1033,2.126627039909363,0.06168493828773498
5.0,0.1,2.2195400992035865,0.20701959686279298
6.0,0.1,2.283271042704582,1.189776547241211
7.0,0.1,2.3044010522961615,16.144286743164063
8.0,0.1,2.359409774541855,24467.1267625
9.0,0.1,,
10.0,0.1,,
11.0,0.1,,
12.0,0.1,,
13.0,0.1,,
14.0,0.1,,
15.0,0.1,,
16.0,0.1,,
17.0,0.1,,
18.0,0.1,,
19.0,0.1,,
20.0,0.1,,
21.0,0.1,,
22.0,0.1,,
23.0,0.1,,
24.0,0.1,,
25.0,0.1,,
26.0,0.1,,
27.0,0.1,,
28.0,0.1,,
29.0,0.1,,
