epoch,test_acc,train_loss_updated,test_loss
0.0,0.2708,2.1684425507272995,0.032544528496265414
1.0,0.3159,2.1696966020124298,0.03210308961868286
2.0,0.3592,2.022943725614321,0.02984212566614151
3.0,0.3994,1.9709255752818924,0.02797308282852173
4.0,0.4326,1.927181486058094,0.0270271511554718
5.0,0.4339,1.8771606851191753,0.025926910054683686
6.0,0.4668,1.8005754305848052,0.024668966138362884
7.0,0.4693,1.7272276792143069,0.024071452009677887
8.0,0.4905,1.6673176858041963,0.023160878598690034
9.0,0.4954,1.6343702564459468,0.02273242154121399
10.0,0.5025,1.613861671014733,0.02245263864994049
11.0,0.5106,1.587158813159026,0.022311421608924867
12.0,0.5153,1.5209589658438094,0.021795362663269043
13.0,0.531,1.4594090244976712,0.020986647868156433
14.0,0.5395,1.4623213014731713,0.020536744832992553
15.0,0.5422,1.4199251451174772,0.020348520147800444
16.0,0.5558,1.3619084893451407,0.01999794752597809
17.0,0.5523,1.4081970197769504,0.020222667944431304
18.0,0.5628,1.3343595087594753,0.01955849638581276
19.0,0.5694,1.313816121420158,0.01957008104324341
20.0,0.5752,1.325512129167051,0.019237964671850204
21.0,0.5804,1.2291543554625515,0.018830565297603605
22.0,0.5771,1.2430699441803705,0.019007190930843354
23.0,0.5795,1.2248172775930948,0.01876918163895607
24.0,0.5848,1.2264605863685054,0.01860128629207611
25.0,0.5887,1.0918203630174204,0.01837844538092613
26.0,0.6046,1.135374257649805,0.0179352792263031
27.0,0.5971,1.2055489401064172,0.018228160655498506
28.0,0.6014,1.0261691868957614,0.01781585083603859
29.0,0.609,1.020872452847592,0.017579005134105683
30.0,0.6098,1.0566081585096463,0.01773754314780235
31.0,0.6171,0.9592391706561362,0.017235426676273344
32.0,0.6184,0.9566453637156103,0.017219207388162613
33.0,0.6186,0.9476362255199571,0.017284885096549987
34.0,0.6238,0.9657068103942689,0.01712153137922287
35.0,0.6216,1.0120626383779707,0.017117802995443344
36.0,0.6243,0.9319905913811884,0.017063903903961182
37.0,0.6304,0.928621085653902,0.016957849276065827
38.0,0.6302,0.8486308660296084,0.017097036069631578
