epoch,test_acc,train_loss_updated,test_loss
0.0,0.059,2.088049804528554,0.036387709188461306
1.0,0.0793,2.1413414389292393,0.036640412497520446
2.0,0.2443,2.1112530899047846,0.033326296210289
3.0,0.3469,1.9254211777051284,0.02895107252597809
4.0,0.3905,1.7532585458755496,0.026915327525138855
5.0,0.4291,1.6470695352554323,0.025072160959243774
6.0,0.4652,1.5411958689689638,0.023557608461380004
7.0,0.4794,1.4610863755544028,0.02296962080001831
8.0,0.4918,1.4093226474126181,0.022451710629463197
9.0,0.5098,1.3677623260815934,0.021646130919456483
10.0,0.5231,1.3108844346205393,0.02108497554063797
11.0,0.5298,1.2559758569399517,0.020710108625888825
12.0,0.5421,1.2046062374909716,0.02018160401582718
13.0,0.5558,1.161700665950775,0.019707177209854126
14.0,0.5596,1.1005181784629823,0.01951661692261696
15.0,0.5721,1.0814588185151417,0.019071906208992004
16.0,0.579,1.0277377103964487,0.01880702090859413
17.0,0.5884,0.9839085612297059,0.018341789811849595
18.0,0.5992,0.9372045542399087,0.01805652540922165
19.0,0.6037,0.8979661989212038,0.017739878153800966
20.0,0.6122,0.863192387978236,0.01746068922281265
21.0,0.6181,0.8253242472012837,0.017269336181879043
22.0,0.6228,0.7849993993043901,0.0170853515625
23.0,0.6317,0.7520146408478421,0.01679074343442917
24.0,0.6344,0.7063013397057851,0.01657989494204521
25.0,0.6374,0.6775709008773166,0.016578854340314864
26.0,0.6418,0.6515920849641167,0.016303582859039305
27.0,0.646,0.6114567710161208,0.016284169858694075
28.0,0.648,0.5867402928670248,0.016050932157039642
29.0,0.6536,0.5536624313195547,0.01598622815608978
30.0,0.6588,0.5265218178431194,0.01573715672492981
31.0,0.6632,0.5007021505037944,0.01563421994447708
32.0,0.6654,0.48874893806378045,0.015541459167003632
33.0,0.6687,0.45470951477686555,0.015502607536315919
34.0,0.6705,0.43554831115404774,0.01541391219496727
35.0,0.6725,0.42187078416347495,0.015315856075286865
36.0,0.6757,0.39882619678974146,0.015283968889713288
37.0,0.6802,0.3823767654299735,0.015245249438285828
38.0,0.6806,0.3652765151460966,0.015260424500703812
39.0,0.6839,0.34623475637038537,0.015163557988405227
40.0,0.6822,0.33075973345836013,0.015132594400644302
41.0,0.6884,0.31961187856396034,0.015012778395414353
42.0,0.6897,0.30147720822691915,0.015123665231466294
43.0,0.6924,0.2908531804482141,0.015040192365646363
44.0,0.6927,0.2865527305603027,0.015027061468362808
45.0,0.6922,0.2780178927779197,0.015097705078125
46.0,0.6948,0.2592486230333646,0.015105468994379043
47.0,0.6922,0.2624677177071571,0.015070577096939087
48.0,0.6965,0.2500966132382551,0.01512393583059311
49.0,0.6944,0.24496693145732074,0.015292893850803376
50.0,0.6981,0.2276985542078813,0.015241710078716279
51.0,0.6943,0.23297009211281933,0.015391874992847443
52.0,0.6977,0.22128252199292187,0.015549714273214341
53.0,0.6991,0.2286836049159368,0.015403980249166489
54.0,0.6944,0.2110564614286025,0.01574869246482849
55.0,0.6989,0.21573633725444474,0.015694704484939575
56.0,0.696,0.20897400747736294,0.015805576515197754
57.0,0.702,0.20794893452028437,0.01579500452876091
58.0,0.6988,0.19601519680023194,0.016215742135047912
59.0,0.6982,0.2029386867955327,0.016175631946325302
60.0,0.6982,0.20186527526875334,0.01632086961865425
61.0,0.6977,0.1941354021579027,0.016535207563638687
62.0,0.6997,0.19196303874750936,0.016629046851396562
63.0,0.6981,0.18473354352513952,0.016785094118118286
64.0,0.6967,0.18783778251955904,0.017018135511875154
65.0,0.6986,0.17912289197991282,0.017254310941696167
66.0,0.6979,0.18727283501625058,0.017260186511278152
67.0,0.6975,0.16889162429918847,0.0175079984664917
68.0,0.6998,0.16105419640863938,0.01802803329229355
69.0,0.6981,0.1830302882231772,0.017852718508243562
70.0,0.701,0.15222895209118723,0.018371847736835478
71.0,0.7013,0.17254710437481602,0.0183541923224926
72.0,0.7002,0.15699698945072785,0.018782066053152083
73.0,0.6997,0.15771559184913828,0.018680818730592727
74.0,0.7,0.13782940274539096,0.019285070556402207
75.0,0.699,0.16965262767051661,0.019311377269029616
76.0,0.6995,0.14410634399205446,0.0197269892513752
77.0,0.6992,0.15974651813382906,0.019920106649398802
78.0,0.6982,0.13694490906658272,0.020313188099861147
79.0,0.6997,0.14656339743050434,0.020490303391218184
80.0,0.698,0.1441102159079164,0.020694106018543244
81.0,0.7001,0.14887959691757957,0.020711351412534714
82.0,0.701,0.12265703404415401,0.021389056879281998
83.0,0.7004,0.1423570962312321,0.021412222373485564
84.0,0.6986,0.12116410984129958,0.02198818004131317
85.0,0.7003,0.13552823357718685,0.022082384592294692
86.0,0.6976,0.12940656839311124,0.0223461901307106
87.0,0.6989,0.12492123746871948,0.022678187769651414
88.0,0.6997,0.13266170895285906,0.02301886121034622
89.0,0.6985,0.11834757454382876,0.023480859303474426
90.0,0.6993,0.1278325229149001,0.023615927135944365
91.0,0.6982,0.12833527180536958,0.02405110410451889
92.0,0.6976,0.13465005056187512,0.024187673848867417
93.0,0.699,0.14819099145382642,0.02411361568570137
94.0,0.6996,0.12833727534860373,0.024650678592920302
95.0,0.6994,0.12532915548436965,0.025283769536018373
96.0,0.699,0.12351218572033879,0.025395396929979323
97.0,0.6996,0.13508744337448542,0.025673189067840576
98.0,0.6955,0.13635216386662793,0.025953000032901765
99.0,0.6974,0.1384422696372494,0.02632581381201744
100.0,0.6976,0.16268481198822457,0.026262876564264296
101.0,0.6955,0.1543698240809608,0.026301414972543718
102.0,0.6973,0.14240781750351503,0.026724088180065154
103.0,0.6973,0.13576239610052046,0.02715676656961441
104.0,0.6974,0.1559884110488929,0.02704861623644829
105.0,0.6954,0.14461153706799568,0.027417557799816132
106.0,0.6953,0.14205218328326008,0.027812354063987733
107.0,0.697,0.14809261873597282,0.028415816605091095
108.0,0.6982,0.1574749903506599,0.02877869593501091
109.0,0.6956,0.16131445433517608,0.028837387949228285
110.0,0.6964,0.15795620423632983,0.029098506540060045
111.0,0.6962,0.15317289007913007,0.029551698565483092
112.0,0.6938,0.15562904083542523,0.029647738033533096
113.0,0.6946,0.16579814613276786,0.029456456589698792
114.0,0.6929,0.17966308584149615,0.029513299763202668
115.0,0.6939,0.14321441333182156,0.030061586898565293
116.0,0.6942,0.16913768315986577,0.030237120538949967
117.0,0.6958,0.15255490869260388,0.030715033262968063
118.0,0.6951,0.18182699510881986,0.030757688337564468
119.0,0.6955,0.1679481261392357,0.030896330463886262
120.0,0.6952,0.17563421346759422,0.03085921831727028
121.0,0.6951,0.17199955882423093,0.031247447115182878
122.0,0.6956,0.17311279176947814,0.03166797479391098
123.0,0.6929,0.18042090639440966,0.031507401978969576
124.0,0.6943,0.17054332439015465,0.031810729348659514
125.0,0.6925,0.16464292328090718,0.031986607199907306
126.0,0.6931,0.18011645391789105,0.03224909479022026
127.0,0.6929,0.1859745439660425,0.03211865109801292
128.0,0.6937,0.21144789888702029,0.03210642058253288
129.0,0.6929,0.17563157159128845,0.03219211664199829
130.0,0.6928,0.173149036233585,0.032625033169984816
131.0,0.6929,0.166428259897298,0.0329088104069233
132.0,0.6927,0.16691356023921014,0.03275602347850799
133.0,0.6929,0.18704096585871105,0.032871610307693484
134.0,0.6935,0.20046871509748357,0.03286235138773918
135.0,0.6939,0.19464935646275994,0.03262629734277725
136.0,0.6922,0.21015535291971182,0.032258004093170166
137.0,0.692,0.21835012813793334,0.03196697212457657
138.0,0.6916,0.18653013839405805,0.03251855251193046
139.0,0.6922,0.15699571596594372,0.033151064586639405
140.0,0.6931,0.18147414728160943,0.03324861903786659
141.0,0.693,0.1726976031073136,0.03342352139949799
142.0,0.6923,0.17628171873806664,0.03372806244492531
