epoch,test_acc,train_loss_updated,test_loss
0.0,0.0736,2.1328237964556767,0.036390036010742186
1.0,0.0841,2.17021802969468,0.03668388166427612
2.0,0.1306,2.170172509627464,0.036146473383903505
3.0,0.1559,2.035115539569121,0.03581093757152557
4.0,0.3078,1.9864712513410139,0.03056272760629654
5.0,0.329,1.8592188258965814,0.029448543918132782
6.0,0.3042,1.782087862491608,0.029629832935333254
7.0,0.303,1.7602016374086717,0.02954696683883667
8.0,0.3597,1.7281005850205056,0.027786948776245116
9.0,0.427,1.6686816551746466,0.025224592185020447
10.0,0.4555,1.5724435930068679,0.02405587718486786
11.0,0.4642,1.4891519650434837,0.02363562866449356
12.0,0.4851,1.4530486010588128,0.022590985155105592
13.0,0.5026,1.3861502254620575,0.02199566203355789
14.0,0.4913,1.3306906537367744,0.02226186729669571
15.0,0.5038,1.3243320464323725,0.02172120131254196
16.0,0.5247,1.2813470595158067,0.021008709454536437
17.0,0.5175,1.2264218920316452,0.021390048038959504
18.0,0.5415,1.2187114341136736,0.020412450897693633
19.0,0.5552,1.1752680351336797,0.019962961983680725
20.0,0.5507,1.1234305909046765,0.02004919462800026
21.0,0.5345,1.1056583053026443,0.02059918222427368
22.0,0.5637,1.0934321749668856,0.019387389439344406
23.0,0.5754,1.0462630840448235,0.019049980050325394
24.0,0.5575,1.0077621498933207,0.01990239364504814
25.0,0.5738,0.9953348249197007,0.019118294596672056
26.0,0.5564,0.972696954546831,0.01977115688920021
27.0,0.5852,0.9573652702264298,0.01867452598810196
28.0,0.594,0.9087146754066145,0.018327591663599013
29.0,0.6031,0.8648122668648374,0.017933794438838958
30.0,0.611,0.8286060060446079,0.017559979110956192
31.0,0.6223,0.7835556568625646,0.01735191135406494
32.0,0.6235,0.7672503746472875,0.017283140230178833
33.0,0.6314,0.7379592379698386,0.016867718183994292
34.0,0.6174,0.7016922755883291,0.017387276983261108
35.0,0.6284,0.6910348056982725,0.01681080315709114
36.0,0.635,0.6501430741105325,0.01681000081896782
37.0,0.6445,0.6357024052777351,0.016285506755113602
38.0,0.6484,0.5987977076035277,0.01632744414806366
39.0,0.6492,0.5810334107432609,0.01618990324139595
40.0,0.6544,0.5537395974000295,0.016039326697587966
41.0,0.6582,0.5415947672266225,0.015823047071695327
42.0,0.6595,0.5128618218768867,0.015722626435756684
43.0,0.6629,0.48878383271587206,0.015866088205575942
44.0,0.6694,0.4764671341922039,0.01551385731101036
45.0,0.6616,0.44729041652037543,0.015905742859840394
46.0,0.6626,0.4428466652448361,0.015728065085411073
47.0,0.668,0.41824638270414793,0.015505796962976456
48.0,0.6724,0.4112055429090293,0.015340251469612121
49.0,0.6719,0.3847175059410243,0.015505676168203354
50.0,0.6729,0.3832258687760585,0.01568686186671257
51.0,0.6803,0.38033592443053554,0.015042802721261978
52.0,0.6803,0.3479183720090451,0.015178340357542038
53.0,0.6772,0.34206542559923275,0.01561307111978531
54.0,0.6748,0.33994455432567083,0.01558951312303543
55.0,0.6774,0.3424290067778949,0.0154546173453331
56.0,0.6847,0.30500102520753175,0.015257570385932923
57.0,0.6843,0.3005281400365325,0.01563401552438736
58.0,0.6882,0.3089806741533371,0.014855389404296876
59.0,0.6884,0.2737445509682098,0.015416750258207322
60.0,0.6928,0.27911110790207594,0.015131623607873916
61.0,0.6861,0.27032604595789544,0.015952950978279114
62.0,0.6903,0.27193848478774996,0.0150867003262043
63.0,0.6953,0.24752248328847765,0.015251790237426758
64.0,0.6964,0.2504079861041063,0.015139475625753403
65.0,0.6977,0.23324120480758262,0.015253123193979264
66.0,0.6983,0.23876110895847275,0.015151904600858688
67.0,0.6916,0.22475792041096168,0.015854149481654166
68.0,0.6943,0.24621557006612427,0.01528524106144905
69.0,0.6974,0.21244769616959944,0.015608455568552016
70.0,0.6893,0.22144926278493726,0.015950386983156203
71.0,0.6972,0.22084310941207097,0.015508508986234664
72.0,0.7,0.20712356016469693,0.01579298648238182
73.0,0.6957,0.22011827433672854,0.01609892663359642
74.0,0.6914,0.22027172896270755,0.016164226931333542
75.0,0.6903,0.18905838940961234,0.01613936814069748
76.0,0.7007,0.19387505916305464,0.01579458948969841
77.0,0.6981,0.1864093583172712,0.016635522896051406
78.0,0.7047,0.20570837023835148,0.015839463689923287
79.0,0.7,0.16938378144986926,0.01650415277481079
80.0,0.6963,0.19039355567537053,0.016620032811164857
81.0,0.6997,0.19203001129058875,0.016180858731269836
82.0,0.703,0.16739387114126325,0.016749717664718628
83.0,0.7025,0.1746126813611064,0.016276420983672144
84.0,0.7013,0.15970625846395986,0.01649195668697357
85.0,0.7084,0.1635689880531759,0.016609995687007904
86.0,0.6985,0.1758430958522531,0.017438497525453567
87.0,0.7036,0.18424376984819385,0.016719042670726776
88.0,0.7079,0.15158081161700046,0.016788516896963118
89.0,0.7005,0.15021372462431776,0.017752742993831633
90.0,0.702,0.16703854395816917,0.017666892164945602
91.0,0.7074,0.17311488000783495,0.016802424129843712
92.0,0.7055,0.1375078755562217,0.01770445677638054
93.0,0.7022,0.16060635908745613,0.017932770335674284
94.0,0.7059,0.14451137026473398,0.01765404453277588
95.0,0.7067,0.13627924836413835,0.017921406388282775
96.0,0.6987,0.1451169110728631,0.01821483657360077
97.0,0.7023,0.16491724054078358,0.018441155767440796
98.0,0.7004,0.16733678449363185,0.01831213168501854
99.0,0.7069,0.15026204294632542,0.01845272542834282
100.0,0.7049,0.13551950110779265,0.019046189963817597
101.0,0.6986,0.14336549443795749,0.01899198625087738
102.0,0.7021,0.135916057398292,0.018676652079820635
103.0,0.6996,0.120802911848594,0.019782426112890245
104.0,0.7072,0.14903212663813084,0.01855129353404045
105.0,0.7042,0.10408205806265755,0.019361810153722764
106.0,0.7003,0.12491404795720694,0.019738719868659972
107.0,0.7081,0.13726226001715242,0.01902116243839264
108.0,0.7112,0.10049016513288597,0.019734142285585402
109.0,0.7053,0.10695628337800885,0.01961649249792099
110.0,0.708,0.09019545468976362,0.02029156550168991
111.0,0.7075,0.1034115261301243,0.020604362642765044
112.0,0.7088,0.10416851293456814,0.020563931316137315
113.0,0.7029,0.10322453048623478,0.021590267688035965
114.0,0.7085,0.13424788955524442,0.020553385698795317
115.0,0.7074,0.09550160496698644,0.021840665113925933
116.0,0.7074,0.12263407431996595,0.021840665113925933
117.0,0.7078,0.12973701131876367,0.020835161393880842
118.0,0.7067,0.08976836678428718,0.02125315971970558
119.0,0.7055,0.09086150642833674,0.021621863174438476
120.0,0.7067,0.09639581617263436,0.022106966239213943
121.0,0.705,0.10589827903126998,0.021910480761528014
122.0,0.7057,0.11381365415044668,0.022033746415376664
123.0,0.7067,0.09414760525195072,0.02220046480298042
124.0,0.7068,0.0932967276810161,0.022452440643310548
125.0,0.7065,0.08636116364311118,0.022768108677864076
126.0,0.7078,0.10238238181127836,0.022861952233314515
127.0,0.704,0.09682666130508716,0.022776242083311082
128.0,0.7062,0.09944549880053205,0.02334269323348999
129.0,0.7054,0.10030441503152429,0.02314280616044998
130.0,0.7061,0.084629101202471,0.02332709363102913
131.0,0.7058,0.0940492508494898,0.023286327069997788
132.0,0.7074,0.0895543443960681,0.023600522869825363
133.0,0.7063,0.09401113652282406,0.02404784688949585
134.0,0.7046,0.10611913963228477,0.023945474052429198
135.0,0.7062,0.10375078867864197,0.024234974759817122
136.0,0.7071,0.09586966437032411,0.024339234364032746
137.0,0.7073,0.09720150459414494,0.024626556795835496
138.0,0.7085,0.0967755147670127,0.024629140782356264
139.0,0.7063,0.09533762572936187,0.02491803661584854
140.0,0.7077,0.09900784723300975,0.024932164472341537
141.0,0.709,0.10315916379943535,0.02500257465839386
142.0,0.7054,0.09770938609077483,0.025143908619880678
143.0,0.7038,0.10320404901244615,0.02530950513482094
144.0,0.7073,0.10153437796965216,0.025296211194992067
145.0,0.7076,0.1040257014508825,0.02547898511886597
146.0,0.7078,0.10031997353623574,0.025821815294027328
147.0,0.7061,0.10536443273971928,0.025782566010951996
148.0,0.7043,0.10689026037192279,0.025965615898370743
149.0,0.7061,0.10581107864989184,0.026015388357639314
150.0,0.7055,0.11269242979014496,0.025976499676704408
151.0,0.7051,0.10296836444184194,0.0260475823700428
152.0,0.7058,0.09966104817084179,0.026406266552209855
153.0,0.706,0.10647765558368963,0.026274713951349258
154.0,0.7051,0.1005758489515686,0.02632520147562027
155.0,0.7061,0.11238201591939939,0.026371376138925554
156.0,0.7048,0.11044508417633972,0.026552481895685195
157.0,0.7064,0.1107366792797947,0.026593201690912248
158.0,0.7066,0.11541883304468148,0.02694501178264618
159.0,0.7063,0.105740273425013,0.02702770933508873
160.0,0.7063,0.10701030076012004,0.02702770933508873
161.0,0.7064,0.10898587146523193,0.02698031895160675
162.0,0.7063,0.11009228845561246,0.02718900958299637
163.0,0.7085,0.12155515141184411,0.027091547667980193
164.0,0.7077,0.10658872721829445,0.027164211946725844
165.0,0.7077,0.10957479045932696,0.027164211946725844
166.0,0.7069,0.11559569186184744,0.027318659269809722
167.0,0.7053,0.11401937575369041,0.027443366277217864
168.0,0.7074,0.1105520907104409,0.027437214785814287
169.0,0.7062,0.1120898656799303,0.02755308965444565
170.0,0.7075,0.1156782488594987,0.027633477395772935
171.0,0.7066,0.11620645198451639,0.027624168777465822
172.0,0.7051,0.1134375588734073,0.027664196360111238
173.0,0.7063,0.1162851910376981,0.027634550124406815
174.0,0.7071,0.10800955466234323,0.027771563178300856
175.0,0.7073,0.11115136988429679,0.02780263215303421
176.0,0.7066,0.11041694131440286,0.027927491706609724
177.0,0.7066,0.1118642974383338,0.027954383456707
178.0,0.7075,0.10789993981370341,0.028070918601751326
179.0,0.7069,0.11884679682394236,0.028102812480926515
180.0,0.706,0.11459259931020473,0.02807283838391304
181.0,0.7081,0.11675543200328363,0.028153014075756072
182.0,0.7064,0.13452585591380156,0.027839782363176347
183.0,0.707,0.11331580093564043,0.027880901163816453
184.0,0.7087,0.11900727738330039,0.02797129028439522
185.0,0.7082,0.11511104188147539,0.02798999485373497
186.0,0.7085,0.1062240889033628,0.028098868250846863
187.0,0.7067,0.11768510629992353,0.028188368272781372
188.0,0.7078,0.12068038276651911,0.028315283298492432
189.0,0.7082,0.115377620285756,0.028410864520072937
190.0,0.7065,0.1391380713917337,0.028509677451848982
191.0,0.7084,0.11592717024890219,0.028679600828886032
192.0,0.7074,0.11460639941528478,0.028695997416973113
193.0,0.7074,0.11942856362942483,0.028695997416973113
194.0,0.7059,0.13589460625765074,0.028757928162813185
195.0,0.7059,0.11952835592136792,0.028757928162813185
196.0,0.7083,0.11849843037050908,0.028662766069173812
197.0,0.7069,0.11745348715015165,0.028858191514015197
198.0,0.7091,0.12474043474511022,0.028919686204195022
199.0,0.7081,0.12647546090152803,0.028925417774915696
