epoch,test_acc,train_loss_updated,test_loss
0.0,0.2902,2.1328755271740447,0.03203805483579636
1.0,0.3559,1.9402220519689415,0.029722700095176698
2.0,0.4045,1.8224801370730765,0.027930346941947938
3.0,0.4295,1.7202789704004924,0.02638098075389862
4.0,0.4543,1.6515956848095628,0.025475048780441285
5.0,0.4664,1.5754994578850572,0.024686255919933318
6.0,0.4773,1.5281715646768228,0.02404478863477707
7.0,0.492,1.4750248838693665,0.023286051654815672
8.0,0.5052,1.4217372700954094,0.022702945494651794
9.0,0.5064,1.3777655042134795,0.022742638576030733
10.0,0.5189,1.3401763184712483,0.022095602011680603
11.0,0.5323,1.3011146148810016,0.021724435532093047
12.0,0.5381,1.2719700700961627,0.021242985785007478
13.0,0.548,1.2339994777471592,0.020737873697280883
14.0,0.5539,1.1955478620834838,0.020328117537498473
15.0,0.5643,1.1543396433958635,0.020018950188159943
16.0,0.5654,1.1216192528987543,0.0200267320394516
17.0,0.5744,1.0998323571223478,0.019730188620090485
18.0,0.582,1.060500308718437,0.019280049109458925
19.0,0.5832,1.0322145175475346,0.01922654568552971
20.0,0.5986,1.002463518579801,0.01867647132873535
21.0,0.5984,0.966481077709259,0.018655216974020006
22.0,0.6,0.9490791010168882,0.018637150269746782
23.0,0.6049,0.9117552794707129,0.018314665603637696
24.0,0.6074,0.8864994630217552,0.018058337950706483
25.0,0.6127,0.8413541849607075,0.01778168885707855
26.0,0.6071,0.8246250657316966,0.01799956906437874
27.0,0.6116,0.7950129623596485,0.017927504014968874
28.0,0.6128,0.7774664553312157,0.017746054750680924
29.0,0.616,0.7375853623335177,0.017596005952358246
30.0,0.6183,0.7265879017802387,0.01741632416844368
31.0,0.6311,0.7092632407179243,0.01697532336115837
32.0,0.6237,0.6782847113907337,0.01715918632745743
33.0,0.6246,0.6466883163994706,0.0171715924680233
34.0,0.6269,0.6265578136039085,0.01698170437216759
35.0,0.6356,0.615198972248114,0.016636341840028764
36.0,0.6401,0.5909070529043673,0.016342924463748933
37.0,0.6472,0.5667254750927289,0.01609595297574997
38.0,0.661,0.5449567118993937,0.015418106663227082
39.0,0.657,0.5255555508228449,0.015595754438638688
40.0,0.6616,0.5197600564131368,0.015401961076259614
41.0,0.6611,0.49589683125034373,0.015374456059932708
42.0,0.6582,0.48415915234348716,0.015584238582849503
43.0,0.6666,0.469477239661874,0.015194729739427567
44.0,0.6648,0.4684385116522511,0.015319129705429077
45.0,0.6698,0.44717772384293575,0.01514218471646309
46.0,0.6645,0.4408976161900238,0.015304607474803925
47.0,0.6726,0.42406790776130465,0.015080431056022645
48.0,0.6697,0.4189169032260394,0.015105982410907746
49.0,0.6715,0.4037266774914968,0.015105606061220168
50.0,0.6707,0.39524334175273407,0.015211016875505447
51.0,0.6767,0.3924202601831311,0.014899703270196915
52.0,0.6718,0.38320811308729336,0.015243122506141663
53.0,0.6669,0.36989831571491083,0.01532982416152954
54.0,0.673,0.3758663766850264,0.015111186909675597
55.0,0.6649,0.33776711817257676,0.015453616172075272
56.0,0.6701,0.35872433161458533,0.015314758813381195
57.0,0.6679,0.3389319533625476,0.015478835183382035
58.0,0.6793,0.33797198652456956,0.015099210655689239
59.0,0.6731,0.3135600587782951,0.015463655805587768
60.0,0.6739,0.324267905840698,0.015325367319583894
61.0,0.6802,0.30984466222998425,0.015266216367483139
62.0,0.667,0.3063772400148595,0.01580604925453663
63.0,0.6733,0.31598710547655035,0.015450880375504494
64.0,0.6732,0.284759701664249,0.015746931716799736
65.0,0.6729,0.29523869759809124,0.015671055710315705
66.0,0.6824,0.297682641644795,0.015534211072325707
67.0,0.6821,0.28575944242855683,0.015617128658294678
68.0,0.6752,0.28153032854629245,0.015844380566477776
69.0,0.6838,0.2698973073313634,0.015696462044119834
70.0,0.6637,0.2628027381805273,0.01644418098628521
71.0,0.6754,0.2708452469406602,0.015969833475351334
72.0,0.6825,0.2589838943957614,0.01609589709341526
73.0,0.6599,0.26430869209102525,0.016757893657684327
74.0,0.6761,0.2713855807812742,0.016088748052716255
75.0,0.6736,0.2364770445256278,0.01641304205060005
76.0,0.6757,0.24236176385400954,0.01643703815340996
77.0,0.6658,0.24281507819317852,0.016914708110690117
78.0,0.6709,0.24188823454941696,0.01670418681204319
79.0,0.6644,0.22144895633563208,0.01717112071812153
80.0,0.6746,0.22305444253083223,0.01684227923154831
81.0,0.6766,0.21361047134448133,0.016952812790870665
82.0,0.6593,0.21315157907203028,0.01755682426691055
83.0,0.6701,0.20666029183313445,0.01719675585627556
84.0,0.6662,0.20313244881944206,0.017483228999376297
85.0,0.6659,0.22292146741185723,0.017387718367576598
86.0,0.6669,0.18665884763766555,0.01775455657839775
87.0,0.6692,0.1896465806666619,0.017761961209774017
88.0,0.6695,0.1877793297496958,0.017853986114263535
89.0,0.6659,0.17944097076542675,0.018079653224349023
90.0,0.6599,0.17633061616424808,0.01842065933048725
91.0,0.6722,0.1894421515884833,0.017898922657966613
92.0,0.6683,0.16922508412195986,0.01830751382112503
93.0,0.6464,0.17631263289457327,0.01899908809661865
94.0,0.6697,0.1833663683163766,0.017998614194989205
95.0,0.6748,0.15895951378326378,0.018310155510902405
96.0,0.6592,0.16254705022602603,0.018752244555950166
97.0,0.6699,0.1649450728529467,0.018581721651554108
98.0,0.6748,0.15377728986607578,0.018790651351213456
99.0,0.6746,0.1561649194518582,0.01905172482132912
100.0,0.6839,0.1589155918055883,0.01933815405368805
101.0,0.6804,0.16867435170182335,0.019264265727996825
102.0,0.6831,0.1573393692608732,0.01952668681740761
103.0,0.6887,0.15589450713372432,0.020245066690444947
104.0,0.6887,0.1766590833465438,0.02001155318021774
105.0,0.6826,0.18079838374784837,0.019779102331399918
106.0,0.6695,0.15488448245838907,0.019767314606904982
107.0,0.6676,0.16259360808956744,0.01954935675263405
108.0,0.6728,0.15497002104530108,0.019622492629289626
109.0,0.6857,0.1518871346713963,0.020145729219913484
110.0,0.6834,0.17054580841064215,0.020062695401906968
111.0,0.683,0.1652456060178781,0.020276732087135315
112.0,0.6843,0.16272448759215583,0.02055330436229706
113.0,0.6849,0.15822551074790026,0.02068887252211571
114.0,0.6872,0.17248679173495388,0.020909055352211
115.0,0.6837,0.16515998807884988,0.020816255152225495
116.0,0.6841,0.1687531822447617,0.020936262422800063
117.0,0.6892,0.1659278702187854,0.021483865541219713
118.0,0.682,0.17378789441486917,0.020809848642349242
119.0,0.6823,0.16069835287426265,0.021095398700237276
120.0,0.6859,0.17105452383447506,0.021453658628463747
121.0,0.6866,0.1751483864070346,0.021638497394323348
122.0,0.6886,0.1821058735305157,0.022059804958105087
123.0,0.6874,0.18702546590983943,0.022130048114061357
124.0,0.6873,0.18823006780674825,0.02226755656003952
125.0,0.6851,0.18398090320943788,0.02211894626021385
126.0,0.6873,0.1805201570232524,0.022436228656768798
127.0,0.6872,0.1930419737238806,0.02253187319636345
128.0,0.6892,0.17916258102826152,0.022726683104038237
129.0,0.6826,0.19364575409279686,0.022242836022377015
130.0,0.6859,0.18671735027321407,0.02249616926908493
131.0,0.6865,0.18473136606857554,0.0226101209461689
132.0,0.6867,0.18998472206130365,0.022832553905248642
133.0,0.6866,0.18172756592498326,0.022907565730810167
134.0,0.6889,0.18410931999245897,0.02298698412179947
135.0,0.6884,0.19762717646379493,0.022967656797170638
136.0,0.6875,0.1946755270088593,0.023068937194347383
137.0,0.6877,0.18549718466529164,0.02315212469100952
138.0,0.687,0.1836270925523235,0.0231703879237175
139.0,0.6878,0.1916401580443236,0.023346902281045915
140.0,0.6876,0.1881826803498626,0.023370758628845214
141.0,0.6846,0.19715537992022483,0.02285603654384613
142.0,0.6862,0.2034151484116685,0.02326662082076073
143.0,0.6869,0.18864217188559287,0.023358605152368546
144.0,0.6885,0.19138146440031384,0.0235779155254364
145.0,0.6894,0.19572454083043758,0.023659859681129457
146.0,0.6888,0.19494247766262376,0.023789384257793426
147.0,0.6827,0.1908218134567738,0.023291480612754822
148.0,0.686,0.2020162069263349,0.023799755984544754
149.0,0.6863,0.20270059724615963,0.023920485162734987
150.0,0.6873,0.21175991365736804,0.023825879865884782
151.0,0.6865,0.1982144010647272,0.024020755630731583
152.0,0.6863,0.19923179242356973,0.02411406738162041
153.0,0.6875,0.18882851486052504,0.024212602150440216
